Topic,Words,Frequency,Class
205,"substitute, substitute teacher, sub, subbed, substitute teachers",17,low_fb
206,"vvec, vvec builds, attend vvec, vvec couldn, school vvec",1,low_fb
207,"mps, mp, mpa, reagan, mphs",4,low_fb
208,"words words, words, love love, sd sd, sd",17,low_fb
210,"kcc, bk, harmon, harmon heart, bk great",5,low_fb
211,"horrible horrible, horrible, administration, leadership, poor",18,low_fb
212,"gilbert, gilbert school, imagine, hime town, abroad board",5,low_fb
213,"seed, dphs, seed pcs, discovery, pcs",2,low_fb
214,"xavier, francis xavier, francis, st francis, sfx",41,low_fb
215,"chaminade, chapin, cha, chaparral, family spirit",14,low_fb
216,"baker, baker school, small town, normal electives, jrotc addition",3,low_fb
217,"crestline, crestwood, crestview, crestline high, crest",10,low_fb
218,"jersey, nj, njsp, new jersey, njrotc",17,low_fb
219,"honor roll, roll, honor, roll student, able tutoring",4,low_fb
220,"salem, salem salem, misguided teacher, illinois link, seeds kinda",4,low_fb
221,"beulah, beulah high, alabama, alabama 75, beulah schools",2,low_fb
222,"average, average school, school average, average teachers, 60s",16,low_fb
224,"king, kings, king drew, drew, kingsland",14,low_fb
225,"mr potts, potts, advice ways, succeeding greatly, picked aims",5,low_fb
226,"gateway, gateway charter, wanting focus, achieves support, high strives",2,low_fb
227,"counselors, counselor, counseling, guidance, don",39,low_fb
228,"desert, desert hills, desert oasis, oasis, hills",17,low_fb
229,"westminster, westminster academy, pardes, wa, kids westminster",20,low_fb
230,"willow, willowridge, willow canyon, student actually, whs",5,low_fb
231,"academy middle, homeschooled, freshan yr, started freshan, exceeding crct",3,low_fb
232,"masuk, masuk drag, education mascoutah, succeed abundant, country masuk",2,low_fb
233,"laurel, peaceful family, life laurel, individuals coached, recent strong",1,low_fb
234,"celina, ceres far, discipline supportive, celina growth, teachers smartly",2,low_fb
