Topic,Words,Frequency,Class
450,"columbia, columbia high, care mischief, opportunity asb, institution columbia",4,low_fb
451,"oakland, oakland high, life academy, health bio, se asia",4,low_fb
452,"robotics, slehs, robotics program, robotics team, engineering",10,low_fb
454,"cliques, clique, cliquey, hc, hc amazing",25,low_fb
455,"bulldogs, eureka, dan river, bulldog, eureka jr",8,low_fb
456,"cvhs, conval, cvcs, cva, attended cvcs",7,low_fb
458,"cypress, cypress ranch, ranch, forced cancellation, blessed drama",4,low_fb
459,"vernon, mt vernon, mt, vernon high, mount vernon",7,low_fb
461,"casa, bella vista, bella, vested rams, 97 state",4,low_fb
462,"independence, independence high, indy, independent, independent school",11,low_fb
463,"brighton, brighton high, connected students, said southampton, whilst forced",2,low_fb
465,"mercy, mercy high, lady mercy, love mercy, daughters mercy",22,low_fb
466,"efa, elmira, closed, erie, southside",3,low_fb
467,"berkeley, uc, uc berkeley, mills, tvs",5,low_fb
468,"preform academically, rarely state, unfortunate tgbhs, example taylor, generic sports",3,low_fb
469,"palo, palo alto, alto, paly, alto high",7,low_fb
470,"bethel, bethel public, bethel great, westport new, new canaan",4,low_fb
472,"parish, parish hill, school parish, calcasieu, calcasieu parish",8,low_fb
473,"caston wonderful, kids caston, daughters phoenix, day notre, wouldn send",4,low_fb
475,"grove, grovetown, grovetown high, lone grove, fair grove",11,low_fb
476,"fayette, fayetteville, fayette ware, ware, fayette academy",17,low_fb
477,"pennfield, remarkable bit, eye street, dad today, penn fairly",2,low_fb
479,"mid pacific, pacific, comparison street, helpful uppity, hussey greets",2,low_fb
