feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_172 (mckinley, lebanon, atlas)",9.710404515527183e-05,5.4750359682002135e-05,1.0,9.710404515527183e-05,5.7937997251406025e-05,0.00013627009305913762
"topic_45 (olph, olv, ola)",6.696289491057162e-05,4.08078679184264e-05,-1.0,-6.696289491057162e-05,-9.615508504467797e-05,-3.777070477646527e-05
"topic_144 (challenger, quest, stratford)",6.663458938976907e-05,2.465000050402843e-05,1.0,6.663458938976907e-05,4.900104129659628e-05,8.426813748294186e-05
"topic_164 (davis, richmond, davis elementary)",6.477300732504743e-05,3.086023235063141e-05,-1.0,-6.477300732504743e-05,-8.684908765747639e-05,-4.269692699261847e-05
"topic_163 (hawaii, hawaiian, hanalani)",4.363466914798497e-05,2.8478392561837577e-05,-1.0,-4.363466914798497e-05,-6.400688393854245e-05,-2.326245435742749e-05
"topic_224 (king, kings, king way)",4.2849569774150444e-05,2.311734352559402e-05,1.0,4.2849569774150444e-05,2.6312418435011925e-05,5.938672111328896e-05
"topic_60 (paul, st paul, st)",3.7285013323595793e-05,3.298306271903817e-05,-1.0,-3.7285013323595793e-05,-6.08796750203063e-05,-1.3690351626885289e-05
"topic_182 (dc, dca, dcs)",3.253978262715007e-05,6.344057419627636e-06,1.0,3.253978262715007e-05,2.8001517340032875e-05,3.7078047914267267e-05
"topic_178 (vegas, las vegas, las)",3.21251423230029e-05,1.560233049225888e-05,1.0,3.21251423230029e-05,2.0963907455853058e-05,4.328637719015274e-05
"topic_90 (grace, grace christian, christian)",2.4891507462254658e-05,1.1685726869241059e-05,-1.0,-2.4891507462254658e-05,-3.325097287965975e-05,-1.6532042044849566e-05
"topic_214 (xavier, francis xavier, francis)",2.2902331478813485e-05,2.0118776569274227e-05,-1.0,-2.2902331478813485e-05,-3.7294437237680204e-05,-8.510225719946767e-06
"topic_154 (fcs, fca, fbcs)",2.2731076832138707e-05,1.4419965588909259e-05,-1.0,-2.2731076832138707e-05,-3.3046498800279165e-05,-1.2415654863998251e-05
"topic_176 (lakeside, cypress, lakeside academy)",1.4069863476173782e-05,1.6475169039527253e-05,1.0,1.4069863476173782e-05,2.284237526422678e-06,2.5855489425924886e-05
"topic_132 (pine, pinewood, pine view)",1.3332655264730597e-05,9.889392390865036e-06,-1.0,-1.3332655264730597e-05,-2.040710040756444e-05,-6.258210121896754e-06
"topic_189 (edison, la reina, reina)",9.480487052337949e-06,6.673661190360105e-06,1.0,9.480487052337949e-06,4.706437431587483e-06,1.4254536673088415e-05
"topic_81 (woodland, forest, woods)",3.3273558443625005e-06,3.26896061518089e-06,-1.0,-3.3273558443625005e-06,-5.665829395836042e-06,-9.888822928889586e-07
"topic_187 (pius, st pius, st)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_188 (gca, gca years, zca)",0.0,0.0,0.0,0.0,0.0,0.0
"topic_230 (willow, willows, willowbrook)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_29 (cca, ccs, cccs)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_232 (mms, mas, mmr)",0.0,0.0,0.0,0.0,0.0,0.0
"topic_233 (laurel, laurel hill, laurelhurst)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_213 (discovery, seed, discovery academy)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_226 (gateway, gateway school, school gateway)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_194 (walden, walden school, berwick)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_185 (rcs, rcds, rcsa)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_215 (cha, chapin, chaparral)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_210 (kcc, kca, kcs)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_216 (baker, mirman, hubbard)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_207 (mpa, mps, mpe)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_217 (crestview, crestwood, crest)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_220 (salem, salem elementary, salem lutheran)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_206 (vms, fvms, vv)",0.0,0.0,0.0,0.0,0.0,0.0
"topic_221 (ams, bes, beulah)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_223 (covenant, new covenant, covenant christian)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_204 (pv, pves, pve)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_203 (shepherd, good shepherd, shepherd school)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_201 (cls, cla, clariden)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_202 (hamilton, alexander, school hamilton)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_3 (montessori, montessori school, children)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_199 (horizon, echo, new horizon)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_195 (anne, st anne, st)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_229 (westminster, pardes, westminster school)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_56 (lutheran, lutheran school, christ lutheran)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_184 (evergreen, love evergreen, evergreen school)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_126 (hca, hcs, hccs)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_122 (hfs, hhs, hta)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_121 (pca, pcs, pc)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_119 (aca, acs, acca)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_116 (meadows, meadow, meadowbrook)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_113 (pinecrest, hillcrest, woodcrest)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_114 (bca, bcs, bcd)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_110 (ecs, eca, ecds)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_107 (mcs, mchs, mcds)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_106 (summit, everest, summit school)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_103 (islamic, islamic school, arabic)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_102 (franklin, fra, franklin academy)",0.0,0.0,1.0,0.0,0.0,0.0
"topic_100 (lca, lcs, lccs)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_95 (ocs, oca, oes)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_92 (sjs, sja, sjb)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_91 (wca, wcs, wellington)",0.0,0.0,-1.0,-0.0,-0.0,0.0
"topic_87 (jcs, jca, jhs)",0.0,0.0,1.0,0.0,0.0,0.0
